"","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","maxIndex","minIndex","meanIndex","changeIndex","progrsIndex","catIndex"
"Afghanistan",39,43.9,41.6,41.7,41.9,41,40.6,42.4,42.4,42.4,42.4,42.4,42.4,42.4,39.8,39.1,34.2,33.3,32,32,32,32,32,30.9,33.1,36,36,35.2,33.6,35.5,43.9,30.9,37.75,13,1.25,"Not Free"
"Albania",52.4,53.5,50.8,53.4,53.4,53.4,50.2,46.5,45.7,45.7,45.7,45.7,45.7,45.7,46.8,46.8,46.1,46.6,47.5,47.5,48.8,49.1,48.8,49.4,49.4,50.6,49.1,48.8,48.2,44.5,53.5,44.5,48.55625,9,3.84375,"Partially Free"
"Algeria",25.3,27.2,28.8,26.2,28.5,28.5,28.5,29.3,28.6,28.6,28.6,28.6,27,27,27,28.1,28.1,28.1,28.1,28.1,28.1,33,33.6,33.6,33.6,33.6,33,32.4,32.4,33,33.6,25.3,29.48125,8.3,-4.18125,"Not Free"
"Angola",48.3,43.9,43.7,43.5,42,42,42,44.8,44.8,45.3,45.3,45.3,40.3,40.3,40.3,40.3,40.3,40.3,42.6,42.6,42.6,42.6,42.1,42.1,42.1,41.8,41.8,43.1,43.4,39.6,48.3,39.6,42.71875,8.7,5.58125,"Partially Free"
"Argentina",54.6,56.9,56.1,56.7,48.8,48.8,48.8,48.8,48.8,47.7,47.7,47.7,50,50.8,51.1,52.1,51.9,51.5,52.6,53.9,47.5,47.5,46.8,46.8,46.8,47.4,47.4,47.1,47.1,47.1,56.9,46.8,50.015625,10.1,4.584375,"Partially Free"
"Armenia",54.1,46.3,36.5,34.5,34.5,34.5,35.1,33,33,33,33,33,33,33,33,34.2,35.5,33.4,35.1,35.1,35.8,35.9,35.9,35.4,37,37.9,37.9,38.3,37.8,37.8,54.1,33,36.55,21.1,17.55,"Partially Free"
"Australia",90,91.8,91.8,90,85.9,88,88,98,98,98,98,98,98,98,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.9,96.73125,14.1,-6.73125,"Free"
"Austria",73.3,73.3,73.3,73.3,73.3,73.3,73.3,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,73.3,74.275,1.3,-0.974999999999994,"Free"
"Azerbaijan",8.95,3.06,3.06,3.06,3.06,3.06,3.06,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,18.6,18.6,18.6,18.6,18.6,18.6,17.8,21.3,21.3,21.3,21.3,36,45.6,33.6,33.6,45.6,3.06,18.1053125,42.54,-9.1553125,"Partially Free"
"Bahrain",19.1,19.1,19.1,19.1,16.8,16.8,16.8,16.8,19.3,21.1,21.1,21.1,19.3,19.3,19.3,14.2,14.2,14.2,20.1,26.2,26.2,26.2,26.2,26.2,26.2,26.6,26.2,20.1,19.7,25.4,26.6,14.2,20.7125,12.4,-1.6125,"Not Free"
"Bangladesh",28.9,32.9,34,31.3,32.1,30,30,33.6,33.6,33.6,33.6,39.8,39.8,40.7,40.7,40.4,40.4,41.7,43.3,43.7,44.1,44.1,44.1,44.1,43.6,44.8,44.4,43.1,43.1,43.1,44.8,28.9,38.634375,15.9,-9.734375,"Not Free"
"Barbados",82.7,80.4,80.4,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,82.7,71.9,73.10625,10.8,9.59375,"Free"
"Belarus",14.5,14.5,13.6,14.2,12.4,12.4,12.4,12.4,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,11.9,29.3,45.3,47.6,54.2,54.4,53.6,53.6,54.4,11.9,21.84375,42.5,-7.34375,"Partially Free"
"Belgium",76.1,71.6,71.6,71.6,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.7,74.7,74.7,74.7,74.7,74.7,76.1,71.6,74.0875,4.5,2.01249999999999,"Free"
"Benin",50,57.7,62.9,57,56.8,56.4,57.2,55,55,55,53.9,53.9,53.9,53.9,55.5,50,50,50,50,50,50,50,50,50,50,50,50,51.2,47.6,45.9,62.9,45.9,52.7375,17,-2.7375,"Partially Free"
"Bolivia",31.8,37,37.3,37.3,37.3,38.7,38.7,35.9,35.9,35.9,38.7,40.6,41.7,40.6,43,43,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.2,44,43.8,43.8,43.8,44,31.8,40.603125,12.2,-8.803125,"Not Free"
"Bosnia and Herzegovina",48.3,48.8,49.7,48.8,49.3,49.3,49.3,48.5,48.5,48.5,48.5,47.5,48.8,48.8,48.8,46,46,44.2,45.2,42.5,43.1,43.1,41,39.7,28.7,28.7,28.7,28.7,28.7,28.7,49.7,28.7,42.9,21,5.4,"Partially Free"
"Botswana",60.3,60.9,57.8,57,58.2,63.2,63.2,66.7,68.1,68.1,68.1,68.1,68.1,68.4,68.4,68.1,68.1,68.1,68.1,68.4,68.4,70.8,70.8,70.8,71.2,71.2,71.2,71.2,71.2,71.2,71.2,57,66.925,14.2,-6.625,"Free"
"Brazil",59.9,61.6,67.4,68.9,72.5,72.5,73.4,71.8,70.8,70.3,70.3,70.3,70.8,70.8,70.8,61.7,61.6,61.6,61.7,61.7,61.7,61.7,61.7,61.9,61.9,61.9,63.2,63.5,63.5,63.5,73.4,59.9,65.88125,13.5,-5.98125,"Free"
"Bulgaria",60,56.4,63.6,61.7,63.8,58.8,58.7,58.8,57.8,57.2,60.8,61.7,61.7,62,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.9,62.9,62.9,62.9,62.9,57.6,51,63.8,51,60.703125,12.8,-0.703125,"Partially Free"
"Burkina Faso",46,46.9,51.1,52.5,51.7,51.9,45.7,45.5,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.7,44.7,40.6,39.6,39.6,39.6,39.6,39.6,39.2,40.7,40.3,39.3,52.5,39.2,44.203125,13.3,1.796875,"Partially Free"
"Burundi",24.5,22.8,22.7,26.3,28.3,28.3,28.3,40.4,40.4,40.4,42.6,42.6,42.6,42.6,42.6,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,51.2,51.2,51.2,48.8,47.4,48.8,51.2,22.7,41.78125,28.5,-17.28125,"Partially Free"
